"X","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model","mean.efficiency","sd.efficiency","median.efficiency","lwr.efficiency","upr.efficiency"
17,"stan.nuts",3,66,0.9,16.969,28.122,107.848073545496,742.539075533546,10000,305.568549330657,1.00036649226762,1.00763146493378,1.00268234170808,"diag_e",0.151948523348086,3.83500723794525,2.39178713147848,45.091,"growth_t",5.88152688157703,2.79106141635584,7.21133164544562,2.28706511193656,8.56052481347765
23,"stan.nuts",4,66,0.9,17.581,40.328,405.262836373893,920.715749841263,10000,505.674400918708,0.999900595171,1.00778169127009,1.00171622475798,"diag_e",0.118883529879389,10.0491677339291,6.99827032713211,57.909,"growth_t",5.88152688157703,2.79106141635584,7.21133164544562,2.28706511193656,8.56052481347765
29,"stan.nuts",5,66,0.9,16.321,31.071,361.464515668015,801.898759909438,10000,391.117620072296,0.999900343560041,1.00826332157481,1.00342372611785,"diag_e",0.143417766279913,11.6335011962285,7.62712094167825,47.392,"growth_t",5.88152688157703,2.79106141635584,7.21133164544562,2.28706511193656,8.56052481347765
35,"stan.nuts",6,66,0.9,16.733,35.436,446.594018994315,987.861230597932,10000,465.413332322238,0.999906157573107,1.00296477592823,1.00106245129188,"diag_e",0.133653969225558,12.602833812911,8.56052481347765,52.169,"growth_t",5.88152688157703,2.79106141635584,7.21133164544562,2.28706511193656,8.56052481347765
6,"stan.nuts",1,66,0.95,21.588,35.777,371.066225858344,906.092805772219,10000,347.439558079995,0.999900012229571,1.00236113016736,1.00057943298282,"diag_e",0.13249274625598,10.3716417211713,6.46851260975061,57.365,"growth_t",6.40969251777053,1.32197031843275,6.58721278142437,3.96170625315465,7.92638877839244
12,"stan.nuts",2,66,0.95,24.425,46.135,450.977059281066,1068.95512423071,10000,472.375634372835,0.999900822620229,1.0010223036208,1.00010981157592,"diag_e",0.103865939482758,9.77516114188936,6.39139823244141,70.56,"growth_t",6.40969251777053,1.32197031843275,6.58721278142437,3.96170625315465,7.92638877839244
18,"stan.nuts",3,66,0.95,24.407,39.157,503.832976309737,1136.41836777743,10000,488.039474817319,0.999906829271328,1.0028729160038,1.00081204549052,"diag_e",0.126177732491755,12.866996355945,7.92638877839244,63.564,"growth_t",6.40969251777053,1.32197031843275,6.58721278142437,3.96170625315465,7.92638877839244
24,"stan.nuts",4,66,0.95,22.86,42.364,456.84430711276,1104.9242931786,10000,496.458973316845,0.999900017715829,1.00237632327762,1.00080288701679,"diag_e",0.120681915787922,10.7837859293919,7.00423627978597,65.224,"growth_t",6.40969251777053,1.32197031843275,6.58721278142437,3.96170625315465,7.92638877839244
30,"stan.nuts",5,66,0.95,26.442,43.417,468.468372990483,1111.59850075025,10000,492.438239224782,0.999915210035589,1.00226029686711,1.000722886563,"diag_e",0.110370279193068,10.7899756544783,6.70591295309813,69.859,"growth_t",6.40969251777053,1.32197031843275,6.58721278142437,3.96170625315465,7.92638877839244
36,"stan.nuts",6,66,0.95,23.73,46.943,279.985666029198,907.524743285929,10000,475.689025674685,0.999900032487957,1.01042275499251,1.0007467009317,"diag_e",0.103253280566544,5.96437522163471,3.96170625315465,70.673,"growth_t",6.40969251777053,1.32197031843275,6.58721278142437,3.96170625315465,7.92638877839244
2,"stan.nuts",1,2,0.5,0.078,0.156,3779.13663855736,5845.34511643448,10000,3825.72284462757,0.999901654467007,1.00053399773044,1.00026662435293,"diag_e",1.54207107006988,24225.2348625472,16150.1565750315,0.234,"mvnc",12287.4061465274,2711.10582474379,12149.372703431,8411.19012865757,16150.1565750315
8,"stan.nuts",2,2,0.5,0.094,0.187,3467.56633464225,6590.54220564066,10000,3487.25582367248,0.99990043808996,1.00021179623479,0.999901964946597,"diag_e",1.49110847637031,18543.1354793703,12340.0937175881,0.281,"mvnc",12287.4061465274,2711.10582474379,12149.372703431,8411.19012865757,16150.1565750315
14,"stan.nuts",3,2,0.5,0.078,0.141,1842.05063817601,4277.19426297331,10000,1821.54018924055,1.00002171438158,1.00023060786691,1.00007387323469,"diag_e",1.86872403991191,13064.1889232341,8411.19012865757,0.219,"mvnc",12287.4061465274,2711.10582474379,12149.372703431,8411.19012865757,16150.1565750315
20,"stan.nuts",4,2,0.5,0.078,0.141,2618.94471995096,4047.66862652303,10000,2515.67689367071,0.9999526603991,1.00006505542421,0.999965320942784,"diag_e",1.82643831975466,18574.076028021,11958.6516892738,0.219,"mvnc",12287.4061465274,2711.10582474379,12149.372703431,8411.19012865757,16150.1565750315
26,"stan.nuts",5,2,0.5,0.078,0.156,2482.38096310473,4419.85332865484,10000,2499.39818338809,0.999915557070069,1.00174705922584,1.00015347720263,"diag_e",1.75567101013913,15912.6984814406,10608.4656542937,0.234,"mvnc",12287.4061465274,2711.10582474379,12149.372703431,8411.19012865757,16150.1565750315
32,"stan.nuts",6,2,0.5,0.078,0.157,3350.13159186514,4713.70912316666,10000,3427.01173048565,0.999916551412354,1.00018861227673,1.0000521198598,"diag_e",1.6106828793075,21338.4177825805,14255.8791143197,0.235,"mvnc",12287.4061465274,2711.10582474379,12149.372703431,8411.19012865757,16150.1565750315
3,"stan.nuts",1,2,0.7,0.094,0.187,4112.01304130551,5488.69480863585,10000,4319.63595082074,1.00009938636821,1.00040464199654,1.00012120026875,"diag_e",1.12617595474017,21989.3745524359,14633.4983676353,0.281,"mvnc",14491.8336797354,1774.8304902755,14804.1198693855,11100.4529612208,16342.8759306185
9,"stan.nuts",2,2,0.7,0.094,0.188,4192.53961990611,5280.53791976201,10000,4534.45214481733,1.00018114414748,1.00100839448844,1.00023394594386,"diag_e",1.23459156067701,22300.742659075,14867.1617727167,0.282,"mvnc",14491.8336797354,1774.8304902755,14804.1198693855,11100.4529612208,16342.8759306185
15,"stan.nuts",3,2,0.7,0.102,0.195,4378.10015591816,5374.0343094262,10000,4605.6810417189,0.999933798240704,0.999961828556004,0.999954140297493,"diag_e",1.14694082760714,22451.7956713752,14741.0779660544,0.297,"mvnc",14491.8336797354,1774.8304902755,14804.1198693855,11100.4529612208,16342.8759306185
21,"stan.nuts",4,2,0.7,0.094,0.187,4289.72775752678,5237.76816934433,10000,4243.11414676286,0.999902224890179,1.00103921910319,1.00008768142248,"diag_e",1.12084974748056,22939.7206284855,15265.9350801665,0.281,"mvnc",14491.8336797354,1774.8304902755,14804.1198693855,11100.4529612208,16342.8759306185
27,"stan.nuts",5,2,0.7,0.078,0.219,3296.83452948258,6055.528571883,10000,3669.91849344397,0.999930269090729,1.00035033736387,0.999964681481943,"diag_e",0.973175802197973,15054.038947409,11100.4529612208,0.297,"mvnc",14491.8336797354,1774.8304902755,14804.1198693855,11100.4529612208,16342.8759306185
33,"stan.nuts",6,2,0.7,0.094,0.188,4608.69101243441,5465.4718835723,10000,4476.63045397831,1.00008167276515,1.00010834568592,1.00010090346556,"diag_e",1.16145143035661,24514.3138959277,16342.8759306185,0.282,"mvnc",14491.8336797354,1774.8304902755,14804.1198693855,11100.4529612208,16342.8759306185
4,"stan.nuts",1,2,0.8,0.109,0.219,3049.04121036874,6043.37947796437,10000,3163.61642599543,0.999912043873838,1.00054349938478,0.999990393550357,"diag_e",0.869039697591965,13922.5626044235,9295.85734868517,0.328,"mvnc",9616.31163227162,1507.34184448265,9972.54385817449,7495.63046657978,11208.8390190846
10,"stan.nuts",2,2,0.8,0.094,0.235,2721.1874587515,6177.85453280291,10000,2662.32250226142,0.999910125394545,1.00017053009143,1.00006555980314,"diag_e",0.827488673343746,11579.5211010702,8271.08650076445,0.329,"mvnc",9616.31163227162,1507.34184448265,9972.54385817449,7495.63046657978,11208.8390190846
16,"stan.nuts",3,2,0.8,0.094,0.25,2578.49688050344,4938.54615635064,10000,2827.84915904671,0.999900574546784,1.00026710650033,0.999901374355906,"diag_e",0.774423695717472,10313.9875220138,7495.63046657978,0.344,"mvnc",9616.31163227162,1507.34184448265,9972.54385817449,7495.63046657978,11208.8390190846
22,"stan.nuts",4,2,0.8,0.094,0.218,3322.5598747111,6300.5241508885,10000,3213.30072251221,0.99991510627322,0.999965654615409,0.999940879249289,"diag_e",0.942129172171445,15241.1003427115,10649.2303676638,0.312,"mvnc",9616.31163227162,1507.34184448265,9972.54385817449,7495.63046657978,11208.8390190846
28,"stan.nuts",5,2,0.8,0.093,0.204,3329.02518866814,6163.17791946471,10000,3265.570838828,1.0000417208679,1.00025631338499,1.00014071464238,"diag_e",0.922254535953853,16318.7509248438,11208.8390190846,0.297,"mvnc",9616.31163227162,1507.34184448265,9972.54385817449,7495.63046657978,11208.8390190846
34,"stan.nuts",6,2,0.8,0.11,0.203,3373.27176643664,6519.20254552905,10000,3288.35202299793,0.999900751341041,1.00038627620426,0.99991854692921,"diag_e",0.913037979831524,16617.1022977174,10777.2260908519,0.313,"mvnc",9616.31163227162,1507.34184448265,9972.54385817449,7495.63046657978,11208.8390190846
